,cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
538,2020,President,polls-plus,8/31/2020,Trump,Biden,,5e-05,0.0,,0,05:55:02 31 Aug 2020,40000
537,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.000175,0.0,,1,05:55:02 31 Aug 2020,40000
426,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.0,0.0,,2,05:55:02 31 Aug 2020,40000
315,2020,President,polls-plus,8/31/2020,Trump,Biden,,5e-05,0.0001,,3,05:55:02 31 Aug 2020,40000
204,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.000625,0.0,,4,05:55:02 31 Aug 2020,40000
93,2020,President,polls-plus,8/31/2020,Trump,Biden,,2.5e-05,0.0,,5,05:55:02 31 Aug 2020,40000
43,2020,President,polls-plus,8/31/2020,Trump,Biden,,2.5e-05,5e-05,,6,05:55:02 31 Aug 2020,40000
32,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.0,0.0,,7,05:55:02 31 Aug 2020,40000
21,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.00025,0.0,,8,05:55:02 31 Aug 2020,40000
10,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.000275,0.0,,9,05:55:02 31 Aug 2020,40000
536,2020,President,polls-plus,8/31/2020,Trump,Biden,,7.5e-05,0.0,,10,05:55:02 31 Aug 2020,40000
525,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.0002,0.0,,11,05:55:02 31 Aug 2020,40000
514,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.0001,0.0,,12,05:55:02 31 Aug 2020,40000
503,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.00015,0.0,,13,05:55:02 31 Aug 2020,40000
492,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.00015,0.0,,14,05:55:02 31 Aug 2020,40000
481,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.0001,0.0,,15,05:55:02 31 Aug 2020,40000
470,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.000425,2.5e-05,,16,05:55:02 31 Aug 2020,40000
459,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.0003,0.0,,17,05:55:02 31 Aug 2020,40000
448,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.00025,0.0,,18,05:55:02 31 Aug 2020,40000
437,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.00025,2.5e-05,,19,05:55:02 31 Aug 2020,40000
425,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.00055,0.0001,,20,05:55:02 31 Aug 2020,40000
414,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.000125,0.0,,21,05:55:02 31 Aug 2020,40000
403,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.000375,0.0,,22,05:55:02 31 Aug 2020,40000
392,2020,President,polls-plus,8/31/2020,Trump,Biden,,0.0002,0.0,,23,05:55:02 31 Aug 2020,40000
