,cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
538,2020,President,polls-plus,8/24/2020,Trump,Biden,,5e-05,0.0,,0,14:12:04 24 Aug 2020,40000
537,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000275,0.0,,1,14:12:04 24 Aug 2020,40000
426,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0,0.0,,2,14:12:04 24 Aug 2020,40000
315,2020,President,polls-plus,8/24/2020,Trump,Biden,,5e-05,5e-05,,3,14:12:04 24 Aug 2020,40000
204,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00095,0.0,,4,14:12:04 24 Aug 2020,40000
93,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000125,0.0,,5,14:12:04 24 Aug 2020,40000
43,2020,President,polls-plus,8/24/2020,Trump,Biden,,5e-05,2.5e-05,,6,14:12:04 24 Aug 2020,40000
32,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00015,0.0,,7,14:12:04 24 Aug 2020,40000
21,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000175,0.0,,8,14:12:04 24 Aug 2020,40000
10,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000325,0.0,,9,14:12:04 24 Aug 2020,40000
536,2020,President,polls-plus,8/24/2020,Trump,Biden,,2.5e-05,0.0,,10,14:12:04 24 Aug 2020,40000
525,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000225,0.0,,11,14:12:04 24 Aug 2020,40000
514,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0001,2.5e-05,,12,14:12:04 24 Aug 2020,40000
503,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000175,2.5e-05,,13,14:12:04 24 Aug 2020,40000
492,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000275,0.0,,14,14:12:04 24 Aug 2020,40000
481,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0002,0.0,,15,14:12:04 24 Aug 2020,40000
470,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000425,0.0,,16,14:12:04 24 Aug 2020,40000
459,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000125,0.0,,17,14:12:04 24 Aug 2020,40000
448,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00025,0.0,,18,14:12:04 24 Aug 2020,40000
437,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000175,0.0,,19,14:12:04 24 Aug 2020,40000
425,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000725,0.0,,20,14:12:04 24 Aug 2020,40000
414,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00015,0.0,,21,14:12:04 24 Aug 2020,40000
403,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00015,0.0,,22,14:12:04 24 Aug 2020,40000
392,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000375,0.0,,23,14:12:04 24 Aug 2020,40000
381,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0002,5e-05,,24,14:12:04 24 Aug 2020,40000
370,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000525,0.0,,25,14:12:04 24 Aug 2020,40000
359,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00035,0.0,,26,14:12:04 24 Aug 2020,40000
348,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00015,0.0,,27,14:12:04 24 Aug 2020,40000
337,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000475,0.0,,28,14:12:04 24 Aug 2020,40000
326,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000675,0.0,,29,14:12:04 24 Aug 2020,40000
314,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00025,0.0,,30,14:12:04 24 Aug 2020,40000
303,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000425,0.0,,31,14:12:04 24 Aug 2020,40000
292,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00055,2.5e-05,,32,14:12:04 24 Aug 2020,40000
281,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0002,0.0,,33,14:12:04 24 Aug 2020,40000
270,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00075,0.0,,34,14:12:04 24 Aug 2020,40000
259,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000625,0.0,,35,14:12:04 24 Aug 2020,40000
248,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0002,0.0,,36,14:12:04 24 Aug 2020,40000
237,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00085,0.0,,37,14:12:04 24 Aug 2020,40000
226,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000625,2.5e-05,,38,14:12:04 24 Aug 2020,40000
215,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000575,0.0,,39,14:12:04 24 Aug 2020,40000
203,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0006,0.0,,40,14:12:04 24 Aug 2020,40000
192,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00045,0.0,,41,14:12:04 24 Aug 2020,40000
