,cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
538,2020,President,polls-plus,8/24/2020,Trump,Biden,,5e-05,0.0,,0,17:22:02 24 Aug 2020,40000
537,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0004,0.0,,1,17:22:02 24 Aug 2020,40000
426,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0,0.0,,2,17:22:02 24 Aug 2020,40000
315,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0,2.5e-05,,3,17:22:02 24 Aug 2020,40000
204,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000675,0.0,,4,17:22:02 24 Aug 2020,40000
93,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0,0.0,,5,17:22:02 24 Aug 2020,40000
43,2020,President,polls-plus,8/24/2020,Trump,Biden,,2.5e-05,0.0001,,6,17:22:02 24 Aug 2020,40000
32,2020,President,polls-plus,8/24/2020,Trump,Biden,,2.5e-05,0.0,,7,17:22:02 24 Aug 2020,40000
21,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000375,0.0,,8,17:22:02 24 Aug 2020,40000
10,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00035,0.0,,9,17:22:02 24 Aug 2020,40000
536,2020,President,polls-plus,8/24/2020,Trump,Biden,,2.5e-05,0.0,,10,17:22:02 24 Aug 2020,40000
525,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00025,0.0,,11,17:22:02 24 Aug 2020,40000
514,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000125,0.0,,12,17:22:02 24 Aug 2020,40000
503,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0003,0.0,,13,17:22:02 24 Aug 2020,40000
492,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0002,0.0,,14,17:22:02 24 Aug 2020,40000
481,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00015,0.0,,15,17:22:02 24 Aug 2020,40000
470,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0003,5e-05,,16,17:22:02 24 Aug 2020,40000
459,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000175,2.5e-05,,17,17:22:02 24 Aug 2020,40000
448,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0003,0.0,,18,17:22:02 24 Aug 2020,40000
437,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000175,5e-05,,19,17:22:02 24 Aug 2020,40000
425,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000475,2.5e-05,,20,17:22:02 24 Aug 2020,40000
414,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000225,0.0,,21,17:22:02 24 Aug 2020,40000
403,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000425,0.0,,22,17:22:02 24 Aug 2020,40000
392,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00035,0.0,,23,17:22:02 24 Aug 2020,40000
381,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00025,0.0,,24,17:22:02 24 Aug 2020,40000
370,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000775,0.0,,25,17:22:02 24 Aug 2020,40000
359,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000325,2.5e-05,,26,17:22:02 24 Aug 2020,40000
348,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0003,0.0,,27,17:22:02 24 Aug 2020,40000
337,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0003,0.0,,28,17:22:02 24 Aug 2020,40000
326,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0005,2.5e-05,,29,17:22:02 24 Aug 2020,40000
314,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000225,2.5e-05,,30,17:22:02 24 Aug 2020,40000
303,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000675,0.0,,31,17:22:02 24 Aug 2020,40000
292,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.00065,0.0,,32,17:22:02 24 Aug 2020,40000
281,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000325,0.0,,33,17:22:02 24 Aug 2020,40000
270,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0007,0.0,,34,17:22:02 24 Aug 2020,40000
259,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0008,0.0,,35,17:22:02 24 Aug 2020,40000
248,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000475,0.0,,36,17:22:02 24 Aug 2020,40000
237,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0006,2.5e-05,,37,17:22:02 24 Aug 2020,40000
226,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0007,0.0,,38,17:22:02 24 Aug 2020,40000
215,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.0004,0.0,,39,17:22:02 24 Aug 2020,40000
203,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000875,0.0,,40,17:22:02 24 Aug 2020,40000
192,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000425,0.0,,41,17:22:02 24 Aug 2020,40000
181,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000575,2.5e-05,,42,17:22:02 24 Aug 2020,40000
170,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000925,0.0,,43,17:22:02 24 Aug 2020,40000
159,2020,President,polls-plus,8/24/2020,Trump,Biden,,0.000175,0.0,,44,17:22:02 24 Aug 2020,40000
